Name;brand;Origin;percentage;Beans
Ben Tre, batch 133;Harris & James;Vietnam;70%;Criollo
Ben Tre, Dong Nai;Grand Place;Vietnam;72%;Criollo
Vietnam;Frederic Blondeel;Vietnam;80%;Criollo
Ham Luong;Erithaj (A. Morin);Vietnam;80%;Criollo
Ba Lai, Mekong Delta;Erithaj (A. Morin);Vietnam;74%;Criollo
Ben Tre;Erithaj (A. Morin);Vietnam;70%;Criollo
Ben Tre, batch 77;ENNA;Vietnam;72%;Criollo
Tien Giang;Dick Taylor;Vietnam;78%;Criollo
Mekong Delta;Darcis;Vietnam;70%;Criollo
Vietnam;DAR;Vietnam;72%;Criollo